dan@QwertyOSX sandbox % ./Lab4FutureValue.py

Enter monthly deposit: 100
Enter annual percentage yield (APY): 6.0
Enter the duration of the investment in years: 5


$ 100.00 per month at  6.00% over 60

Mo. | Interest |   Deposit  |   Balance
  1 | $   0.50 | $   100.00 | $    100.50
  2 | $   1.00 | $   100.00 | $    201.50
  3 | $   1.51 | $   100.00 | $    303.01
  4 | $   2.02 | $   100.00 | $    405.03
  5 | $   2.53 | $   100.00 | $    507.55
  6 | $   3.04 | $   100.00 | $    610.59
  7 | $   3.55 | $   100.00 | $    714.14
  8 | $   4.07 | $   100.00 | $    818.21
  9 | $   4.59 | $   100.00 | $    922.80
 10 | $   5.11 | $   100.00 | $   1027.92
 11 | $   5.64 | $   100.00 | $   1133.56
 12 | $   6.17 | $   100.00 | $   1239.72
 13 | $   6.70 | $   100.00 | $   1346.42
 14 | $   7.23 | $   100.00 | $   1453.65
 15 | $   7.77 | $   100.00 | $   1561.42
 16 | $   8.31 | $   100.00 | $   1669.73
 17 | $   8.85 | $   100.00 | $   1778.58
 18 | $   9.39 | $   100.00 | $   1887.97
 19 | $   9.94 | $   100.00 | $   1997.91
 20 | $  10.49 | $   100.00 | $   2108.40
 21 | $  11.04 | $   100.00 | $   2219.44
 22 | $  11.60 | $   100.00 | $   2331.04
 23 | $  12.16 | $   100.00 | $   2443.20
 24 | $  12.72 | $   100.00 | $   2555.91
 25 | $  13.28 | $   100.00 | $   2669.19
 26 | $  13.85 | $   100.00 | $   2783.04
 27 | $  14.42 | $   100.00 | $   2897.45
 28 | $  14.99 | $   100.00 | $   3012.44
 29 | $  15.56 | $   100.00 | $   3128.00
 30 | $  16.14 | $   100.00 | $   3244.14
 31 | $  16.72 | $   100.00 | $   3360.86
 32 | $  17.30 | $   100.00 | $   3478.17
 33 | $  17.89 | $   100.00 | $   3596.06
 34 | $  18.48 | $   100.00 | $   3714.54
 35 | $  19.07 | $   100.00 | $   3833.61
 36 | $  19.67 | $   100.00 | $   3953.28
 37 | $  20.27 | $   100.00 | $   4073.54
 38 | $  20.87 | $   100.00 | $   4194.41
 39 | $  21.47 | $   100.00 | $   4315.88
 40 | $  22.08 | $   100.00 | $   4437.96
 41 | $  22.69 | $   100.00 | $   4560.65
 42 | $  23.30 | $   100.00 | $   4683.96
 43 | $  23.92 | $   100.00 | $   4807.88
 44 | $  24.54 | $   100.00 | $   4932.42
 45 | $  25.16 | $   100.00 | $   5057.58
 46 | $  25.79 | $   100.00 | $   5183.37
 47 | $  26.42 | $   100.00 | $   5309.78
 48 | $  27.05 | $   100.00 | $   5436.83
 49 | $  27.68 | $   100.00 | $   5564.52
 50 | $  28.32 | $   100.00 | $   5692.84
 51 | $  28.96 | $   100.00 | $   5821.80
 52 | $  29.61 | $   100.00 | $   5951.41
 53 | $  30.26 | $   100.00 | $   6081.67
 54 | $  30.91 | $   100.00 | $   6212.58
 55 | $  31.56 | $   100.00 | $   6344.14
 56 | $  32.22 | $   100.00 | $   6476.36
 57 | $  32.88 | $   100.00 | $   6609.24
 58 | $  33.55 | $   100.00 | $   6742.79
 59 | $  34.21 | $   100.00 | $   6877.00
 60 | $  34.89 | $   100.00 | $   7011.89


Ending Balance: $   7011.89
Total Interest: $   1011.89

dan@QwertyOSX sandbox % 
